Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-05-28,133560800,63804000,33844000,24713900,16230600,33810200,734896000,22521767,108834000,19698000,5447020000
2020-05-29,153532400,70198000,36418000,26526400,51125000,42130400,745256000,48333067,176467500,25874700,7297550000
2020-06-01,80791200,58578000,24342000,15176800,17010700,22622400,389876000,76884979,224092500,19031000,4684170000
2020-06-02,87642800,50598000,25562000,21195000,15255100,30794600,391320000,42690900,203484000,22319000,5197150000
2020-06-03,104491200,53420000,25124000,25941100,15508300,27311000,365440000,38751996,119242500,23418000,6005560000
2020-06-04,87560400,58974000,29686000,26784700,13604700,28761800,424280000,27013388,133315500,18731400,6451290000
2020-06-05,137250400,66128000,34698000,42231000,20504800,39893600,481748000,36705655,117178500,41328900,8639300000
2020-06-08,95654400,79414000,28084000,24881800,19896700,33211600,387736000,30194149,212620500,33579400,8498300000
2020-06-09,147712400,103520000,28184000,17031100,16713700,29783900,468488000,21675088,170823000,27276900,6410930000
2020-06-10,166651600,98920000,30504000,24913300,15716600,43872300,632180000,29557217,278451000,31156800,6598870000
2020-06-11,201662400,116002000,39826000,36259200,26070400,52854700,583652000,63166642,238747500,39183000,7037320000
2020-06-12,200146000,108722000,38928000,24856800,21822700,43373600,570908000,37902472,251451000,30978100,5845330000
2020-06-15,138808800,77302000,30078000,22153600,15622300,32770200,400004000,36247482,235458000,27929300,5757480000
2020-06-16,165428800,71712000,34184000,22193600,18803500,42556700,535716000,55616945,210766500,26203400,5845810000
2020-06-17,114406400,59186000,30992000,15639800,12602800,25687800,408304000,27509822,148362000,19279400,4560450000
2020-06-18,96820400,49756000,31638000,16591900,9380800,23061600,254408000,32278855,146278500,21478700,4448690000
2020-06-19,264476000,115540000,63158000,40371200,30464600,44441100,524160000,43986266,130195500,48899900,8346650000
2020-06-22,135445200,64176000,30848000,16216900,20876200,32818900,398468000,23332503,95436000,17565400,4686690000
2020-06-23,212155600,84634000,28596000,15381400,14675300,30917400,375108000,37690408,95479500,18916600,4711850000
2020-06-24,192623200,90532000,35120000,22919800,17631800,36740600,449372000,30817695,164394000,27626900,5597680000
2020-06-25,137522400,59374000,24610000,25743600,13829700,27803900,376072000,27418651,138817500,19353600,4847690000
2020-06-26,205256800,130016000,85354000,41896300,21955100,54675800,592084000,42153992,132823500,31518600,8107850000
2020-06-29,130646000,84468000,36204000,18499700,17603900,26701600,342248000,23956261,135396000,17052100,4473970000
2020-06-30,140223200,75394000,40848000,19137000,23679800,34310300,367892000,25451676,253777500,22153600,4705850000
2020-07-01,110737200,127268000,35504000,18755700,14316500,32061200,326648000,73503009,199903500,17290100,4449230000
2020-07-02,114041600,131868000,37182000,27845600,15111900,29315800,364056000,45270881,258751500,18216600,4197720000
2020-07-06,118655600,137612000,31280000,18625300,15146000,31897600,315892000,27150935,308548500,22692000,4759160000
2020-07-07,112424400,105150000,29164000,25757200,13043600,33600700,357800000,25148018,322345500,17407600,4571330000
2020-07-08,117092000,100752000,24994000,18762200,13851200,33600000,365480000,24256545,244669500,18291400,4937310000
2020-07-09,125642800,127774000,28466000,25600800,16087100,33121700,494548000,20363702,175764000,25882000,4843650000
2020-07-10,90257200,109720000,37126000,28954200,15627800,26177600,497676000,24459019,350064000,18951000,4524190000
2020-07-13,191649200,154408000,36928000,32079200,16705300,38135600,457076000,56569129,584781000,20028300,4902440000
2020-07-14,170989200,144638000,31700000,42731700,17080100,37591800,542676000,32854129,351271500,21444100,4507140000
2020-07-15,153198000,115778000,32214000,22508400,23738000,32179400,403984000,26294454,245517000,17332400,4686830000
2020-07-16,110577600,127884000,30386000,16886900,13306100,29940700,344964000,18421812,214512000,14673700,3972860000
2020-07-17,92186800,95226000,29134000,16137700,13899800,31635300,266284000,23347365,139950000,17958900,4012850000
2020-07-20,90318000,151964000,31146000,14458100,16633200,36884800,284852000,36815693,256821000,18553900,3979340000
2020-07-21,103433200,122426000,24324000,17798100,25681500,37990400,277036000,23588520,241608000,28821800,4556610000
2020-07-22,89001600,82084000,18640000,14271200,29831200,49605700,367292000,90705554,212416500,21345400,4267160000
2020-07-23,197004400,113138000,32552000,12870200,15935000,67457000,411660000,59639536,364927500,17934400,4296760000
2020-07-24,185438800,112648000,30880000,12744200,16196800,39827000,473292000,33870501,290949000,16415300,3689410000
2020-07-27,121214000,83410000,24920000,11959100,17346500,30160900,292132000,27640307,240730500,18547900,3970310000
2020-07-28,103625600,62534000,34044000,11754300,13872700,23251400,271636000,56393954,237130500,19190500,4053180000
2020-07-29,90329200,59482000,22130000,12743500,13758100,19632600,284508000,37033660,141403500,14143200,4478200000
2020-07-30,158130000,122566000,33428000,14834800,17276500,25079600,308880000,32273796,114315000,29901100,4264920000
2020-07-31,374336800,161710000,68798000,14535000,14849200,51044000,386080000,28472124,183123000,32116200,5007530000
2020-08-03,308151200,101494000,46604000,12962800,14137500,78983000,412720000,31036400,132139500,23033600,4438940000
2020-08-04,173071600,93886000,38070000,13366200,11717200,49280100,310336000,29448549,126225000,17724000,4414380000
2020-08-05,121776800,78330000,39590000,15260900,10498700,28806400,249924000,24292697,74217000,17175100,4535060000
2020-08-06,202428800,78812000,39908000,10482100,10745000,32656800,244316000,20922111,89884500,14434900,4278930000
2020-08-07,198045600,78722000,31556000,14743700,11669700,27820400,342516000,23097251,133446000,18757900,4110030000
